#name	ra	dec	avgflux	peakflux
1H1914-194	289.43674	-19.35878	272.5	310
S41250+53	193.29967	53.01993	267.9	290
TXS0603+476	91.8469	47.66304	264.2857143	339
S51027+74	157.84177	74.69954	260.3333333	322
8C1944+838	294.32916	83.935	253.3333333	295
TXS0141+268	26.13978	27.08419	251	334
4C57.27	240.98305	57.51511	250.3333333	254
S40636+68	100.51774	67.97656	243.6666667	250
PKS0136+176	24.92491	17.88543	236.8	259
PMNJ0906-0905	136.57529	-9.09581	233	306
4C+74.26	310.65546	75.13401	230.5	250
MG2J153938+2744	234.91307	27.74395	229.1666667	383
TXS1923+123	291.42007	12.46058	228.3333333	255
S50454+84	77.17651	84.5346	226	266
WB920711+1940	108.482	19.58345	220.2	442
TXS2157+102	330.03305	10.50219	218.1666667	247
B21348+30B	207.71973	30.58155	206	265
VIPS0623	195.7634	24.56552	201.75	307
1ES1959+650	299.9994	65.14851	199.6	223
PKS0301-243	45.86042	-24.11986	195.8333333	236
GB6J0654+5042	103.59205	50.70663	192.7272727	315
GB6J0047+5657	11.75179	56.96178	191.25	217
PMNJ0608-1520	92.00638	-15.3436	190.5	221
PMNJ1332-1256	203.16354	-12.9376	190.2	351
B20922+31B	141.43188	31.453	187.3333333	193
3C382	278.76413	32.69635	187	194
CRATESJ0009+0628	2.26638	6.47257	185.4	209
NVSSJ090226+205045	135.61212	20.84625	184.8333333	230
7C1055+5644	164.6572	56.46978	184.6666667	214
1ES1011+496	153.76724	49.43353	184.1	209
VIPS0926	239.7012	56.42059	183	199
PMNJ1226-1328	186.72675	-13.4775	182.1666667	218
MG1J112039+0704	170.16019	7.07977	180.1428571	211
PMNJ2331-2148	352.76678	-21.80428	180	180
Mrk180	174.11003	70.15759	177.8571429	199
PG1553+113	238.92935	11.1901	174.5	244
TXS0815-094	124.45729	-9.55848	170.75	197
GB6B1310+4844	198.18063	48.47526	167.1666667	241
B31206+416	182.34496	41.32816	164	175
CRATESJ0617-1715	94.38924	-17.25697	159.8	174
PMNJ0941-0754	145.33546	-7.90097	155.5	171
MG4J202932+4925	307.41614	49.43948	155	314
